name,url,currentVersion,crownUpdateDate
alphagov/pay-products-ui,https://github.com/alphagov/pay-products-ui,5.2.0,2024-03-11T11:26:28Z
LandRegistry/hmlr-design-system-legacy,https://github.com/LandRegistry/hmlr-design-system-legacy,3.11.0,N/A
ministryofjustice/opg-modernising-lpa,https://github.com/ministryofjustice/opg-modernising-lpa,5.3.1,2024-01-16T08:01:55Z
ministryofjustice/calculate-release-dates,https://github.com/ministryofjustice/calculate-release-dates,5.3.1,2024-03-25T17:29:03Z
ministryofjustice/laa-court-data-ui,https://github.com/ministryofjustice/laa-court-data-ui,4.7.0,N/A
ministryofjustice/digital-prison-services,https://github.com/ministryofjustice/digital-prison-services,4.7.0,N/A
hmcts/rpx-xui-manage-organisations,https://github.com/hmcts/rpx-xui-manage-organisations,3.14.0,N/A
alphagov/govwifi-admin,https://github.com/alphagov/govwifi-admin,4.7.0,N/A
hmcts/design-system,https://github.com/hmcts/design-system,3.0.0,N/A
DFE-Digital/ucd-manual,https://github.com/DFE-Digital/ucd-manual,4.6.0,N/A
govuk-one-login/service-header,https://github.com/govuk-one-login/service-header,4.8.0,2024-02-16T15:07:54Z
DFE-Digital/find-teacher-training,https://github.com/DFE-Digital/find-teacher-training,4.4.1,N/A
alphagov/forms-runner,https://github.com/alphagov/forms-runner,5.4.0,2024-02-14T15:15:45Z
alphagov/re-rotas,https://github.com/alphagov/re-rotas,3.0.0,N/A
govuk-one-login/onboarding-product-page,https://github.com/govuk-one-login/onboarding-product-page,4.8.0,undefined
ministryofjustice/book-a-prison-visit-staff-ui,https://github.com/ministryofjustice/book-a-prison-visit-staff-ui,5.4.0,2024-02-19T06:58:06Z
ministryofjustice/hale,https://github.com/ministryofjustice/hale,5.2.0,undefined
alphagov/emergency-alerts-govuk,https://github.com/alphagov/emergency-alerts-govuk,4.8.0,2024-02-19T12:40:00Z
DFE-Digital/early-years-foundation-reform,https://github.com/DFE-Digital/early-years-foundation-reform,4.7.0,N/A
hmcts/rpa-jui-webapp,https://github.com/hmcts/rpa-jui-webapp,2.13.0,N/A
uktrade/market-access-python-frontend,https://github.com/uktrade/market-access-python-frontend,3.15.0,undefined
alphagov/re-request-an-aws-account,https://github.com/alphagov/re-request-an-aws-account,4.5.0,N/A
alphagov/govwifi-tech-docs,https://github.com/alphagov/govwifi-tech-docs,4.7.0,N/A
communitiesuk/epb-frontend,https://github.com/communitiesuk/epb-frontend,5.4.0,2024-02-19T08:55:10Z
ministryofjustice/prepare-a-case,https://github.com/ministryofjustice/prepare-a-case,5.1.0,2024-02-19T22:18:05Z
Crown-Commercial-Service/digitalmarketplace-govuk-frontend,https://github.com/Crown-Commercial-Service/digitalmarketplace-govuk-frontend,3.11.0,N/A
OfficeForProductSafetyAndStandards/product-safety-database,https://github.com/OfficeForProductSafetyAndStandards/product-safety-database,5.4.0,2024-02-06T13:10:19Z
alphagov/pay-product-page,https://github.com/alphagov/pay-product-page,3.15.0,undefined
ministryofjustice/cla_public,https://github.com/ministryofjustice/cla_public,3.2.0,N/A
ministryofjustice/hmpps-book-secure-move-frontend,https://github.com/ministryofjustice/hmpps-book-secure-move-frontend,4.5.0,N/A
ministryofjustice/use-of-force,https://github.com/ministryofjustice/use-of-force,3.14.0,N/A
hmcts/rpx-xui-approve-org,https://github.com/hmcts/rpx-xui-approve-org,4.0.1,N/A
Crown-Commercial-Service/crown-marketplace,https://github.com/Crown-Commercial-Service/crown-marketplace,5.4.0,2024-03-12T09:25:45Z
ministryofjustice/help-with-prison-visits-internal,https://github.com/ministryofjustice/help-with-prison-visits-internal,5.3.0,undefined
i-dot-ai/consultation-analyser,https://github.com/i-dot-ai/consultation-analyser,5.4.0,undefined
hmcts/opal-frontend,https://github.com/hmcts/opal-frontend,5.4.0,2024-02-16T13:50:01Z
hmcts/ccd-case-ui-toolkit,https://github.com/hmcts/ccd-case-ui-toolkit,4.7.0,N/A
DFE-Digital/publish-teacher-training-2022,https://github.com/DFE-Digital/publish-teacher-training-2022,4.0.1,N/A
ministryofjustice/hmpps-prisoner-profile,https://github.com/ministryofjustice/hmpps-prisoner-profile,5.4.0,2024-02-12T10:10:35Z
defencedigital/moduk-frontend,https://github.com/defencedigital/moduk-frontend,5.3.1,2024-03-15T12:20:09Z
ukgov-equality-hub/smc-son,https://github.com/ukgov-equality-hub/smc-son,3.14.0,N/A
LandRegistry/hmlr-frontend,https://github.com/LandRegistry/hmlr-frontend,4.8.0,2024-02-19T11:30:45Z
DFE-Digital/apply-for-qualified-teacher-status,https://github.com/DFE-Digital/apply-for-qualified-teacher-status,5.4.0,2023-12-12T09:09:02Z
