Colour,Function,Used as,Used in,Concept
#fd0,focus,background-color,".govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-heading-text-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-summary-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-toggle-focus",frontend-supported
#fd0,focus,box-shadow,".govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-heading-text-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-summary-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-toggle-focus",frontend-supported
#0b0c0c,focus-text,box-shadow,".govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-heading-text-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-summary-focus,
.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion__section-toggle-focus",frontend-supported
#0b0c0c,,color,.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion-nav__chevron,frontend-supported
#0b0c0c,,background,.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion-nav__chevron,frontend-supported
#fd0,focus,color,.govuk-frontend-supported .govuk-accordion__section-button:focus .govuk-accordion-nav__chevron:after,frontend-supported
#1a65a6,link,color,.govuk-frontend-supported .govuk-accordion__section-toggle,frontend-supported
#cecece,border,border-top-color,.govuk-frontend-supported .govuk-accordion__section-header:hover,frontend-supported
#1a65a6,link,box-shadow,.govuk-frontend-supported .govuk-accordion__section-header:hover,frontend-supported
#cecece,border,border-top-color,.govuk-frontend-supported .govuk-accordion__section-header:hover .govuk-accordion__section-button,frontend-supported
#fd0,focus,background-color,.govuk-back-link:focus,back-link
#fd0,focus,box-shadow,.govuk-back-link:focus,back-link
#0b0c0c,focus-text,box-shadow,.govuk-back-link:focus,back-link
#0b0c0c,text,color,".govuk-back-link:active,
.govuk-back-link:link,
.govuk-back-link:visited",back-link
#0b0c0c,focus-text,color,.govuk-back-link:focus,back-link
#484949,secondary-text,border-color,.govuk-back-link:before,back-link
#0b0c0c,focus-text,border-color,.govuk-back-link:focus:before,back-link
#fff,,color,".govuk-back-link--inverse:link,
.govuk-back-link--inverse:visited",back-link--inverse
#0b0c0c,focus-text,color,.govuk-back-link--inverse:focus,back-link--inverse
#0b0c0c,text,color,.govuk-breadcrumbs,breadcrumbs
#484949,secondary-text,border-color,.govuk-breadcrumbs__list-item:before,breadcrumbs__list-item
#fd0,focus,background-color,.govuk-breadcrumbs__link:focus,breadcrumbs__link
