Colour,Function,Used as,Used in,Concept
#0b0c0c,text,color,".govuk-skip-link:active,
.govuk-skip-link:link,
.govuk-skip-link:visited",skip-link
#0b0c0c,focus-text,color,.govuk-skip-link:focus,skip-link
#fd0,focus,outline-color,.govuk-skip-link:focus,skip-link
#fd0,focus,background-color,.govuk-skip-link:focus,skip-link
#0b0c0c,text,color,.govuk-summary-list,summary-list
#cecece,border,border-bottom-color,.govuk-summary-list__row,summary-list__row
#cecece,border,border-right-color,".govuk-summary-card__action,
.govuk-summary-list__actions-list-item","summary-card__action,"
#cecece,border,border-left-color,".govuk-summary-card__action:not(:first-child),
.govuk-summary-list__actions-list-item:not(:first-child)",summary-card__action
#cecece,border,border-color,.govuk-summary-card,summary-card
#f3f3f3,,background-color,.govuk-summary-card__title-wrapper,summary-card__title-wrapper
#0b0c0c,text,color,.govuk-summary-card__title,summary-card__title
#0b0c0c,text,color,.govuk-table,table
#cecece,border,border-bottom-color,".govuk-table__cell,
.govuk-table__header","table__cell,"
#0b0c0c,text,color,.govuk-tabs__title,tabs__title
#0b0c0c,text,color,.govuk-tabs__list-item:before,tabs__list-item
#fd0,focus,background-color,.govuk-tabs__tab:focus,tabs__tab
#fd0,focus,box-shadow,.govuk-tabs__tab:focus,tabs__tab
#0b0c0c,focus-text,box-shadow,.govuk-tabs__tab:focus,tabs__tab
#1a65a6,link,color,.govuk-tabs__tab:link,tabs__tab
#54319f,link-visited,color,.govuk-tabs__tab:visited,tabs__tab
#0f385c,link-hover,color,.govuk-tabs__tab:hover,tabs__tab
#0b0c0c,link-active,color,.govuk-tabs__tab:active,tabs__tab
#0b0c0c,focus-text,color,.govuk-tabs__tab:focus,tabs__tab
#cecece,border,border-bottom-color,.govuk-frontend-supported .govuk-tabs__list,frontend-supported
#f3f3f3,,background-color,.govuk-frontend-supported .govuk-tabs__list-item,frontend-supported
#cecece,border,border-color,.govuk-frontend-supported .govuk-tabs__list-item--selected,frontend-supported
#fff,body-background,background-color,.govuk-frontend-supported .govuk-tabs__list-item--selected,frontend-supported
#0b0c0c,text,color,".govuk-frontend-supported .govuk-tabs__tab:active,
.govuk-frontend-supported .govuk-tabs__tab:link,
.govuk-frontend-supported .govuk-tabs__tab:visited",frontend-supported
#0b0c0c,focus-text,color,.govuk-frontend-supported .govuk-tabs__tab:focus,frontend-supported
#cecece,border,border-color,.govuk-frontend-supported .govuk-tabs__panel,frontend-supported
#cecece,border,border-bottom-color,.govuk-task-list__item,task-list__item
#cecece,border,border-top-color,.govuk-task-list__item:first-child,task-list__item
#f3f3f3,,background,.govuk-task-list__item--with-link:hover,task-list__item--with-link
#0b0c0c,text,color,".govuk-task-list__name-and-hint,
.govuk-task-list__status","task-list__name-and-hint,"
#484949,secondary-text,color,.govuk-task-list__status--cannot-start-yet,task-list__status--cannot-start-yet
#484949,secondary-text,color,.govuk-task-list__hint,task-list__hint
#0b0c0c,text,border-color,.govuk-warning-text__icon,warning-text__icon
#fff,body-background,color,.govuk-warning-text__icon,warning-text__icon
#0b0c0c,text,background,.govuk-warning-text__icon,warning-text__icon
#0b0c0c,text,color,.govuk-warning-text__text,warning-text__text

